,days,len_day_data,neg_res,neut_tweet,pos_tweet
650,2018-06-17 07:45:00,336,9.226190476190476,44.04761904761905,46.726190476190474
651,2018-06-04 05:45:00,60,13.333333333333334,40.0,46.666666666666664
652,2018-06-12 21:15:00,64,3.125,70.3125,26.5625
653,2018-06-03 23:00:00,26,15.384615384615385,61.53846153846154,23.076923076923077
654,2018-06-03 15:45:00,13,15.384615384615385,53.84615384615385,30.76923076923077
655,2018-06-16 14:15:00,423,11.347517730496454,46.572104018912526,42.08037825059102
656,2018-06-17 05:45:00,264,9.848484848484848,49.24242424242424,40.90909090909091
657,2018-06-16 11:15:00,461,8.026030368763557,52.060737527114966,39.91323210412148
658,2018-06-17 01:00:00,461,8.893709327548807,38.611713665943604,52.49457700650759
659,2018-06-03 22:15:00,47,4.25531914893617,53.191489361702125,42.5531914893617
660,2018-06-15 12:45:00,229,12.663755458515285,45.851528384279476,41.48471615720524
661,2018-06-19 04:00:00,459,11.11111111111111,53.37690631808279,35.5119825708061
662,2018-06-13 21:45:00,59,18.64406779661017,35.59322033898305,45.76271186440678
663,2018-06-14 09:15:00,62,11.290322580645162,46.774193548387096,41.935483870967744
664,2018-06-14 01:30:00,45,26.666666666666668,33.333333333333336,40.0
665,2018-06-12 18:30:00,60,13.333333333333334,45.0,41.666666666666664
666,2018-06-05 02:00:00,53,11.320754716981131,45.283018867924525,43.39622641509434
667,2018-06-10 02:15:00,58,13.793103448275861,41.37931034482759,44.827586206896555
668,2018-06-07 07:30:00,47,10.638297872340425,40.42553191489362,48.93617021276596
669,2018-06-06 10:30:00,50,18.0,32.0,50.0
670,2018-06-09 12:45:00,49,8.16326530612245,46.93877551020408,44.89795918367347
671,2018-06-13 02:00:00,61,16.39344262295082,40.98360655737705,42.622950819672134
672,2018-06-10 18:00:00,52,13.461538461538462,48.07692307692308,38.46153846153846
673,2018-06-07 23:30:00,34,14.705882352941176,26.470588235294116,58.8235294117647
674,2018-06-18 08:45:00,374,10.695187165775401,49.73262032085562,39.57219251336898
675,2018-06-14 19:30:00,449,23.385300668151448,42.98440979955456,33.630289532293986
676,2018-06-13 22:45:00,1,0.0,100.0,0.0
677,2018-06-09 23:00:00,63,4.761904761904762,46.03174603174603,49.20634920634921
678,2018-06-04 11:45:00,52,9.615384615384615,40.38461538461539,50.0
679,2018-06-18 11:15:00,397,9.571788413098236,61.9647355163728,28.463476070528966
680,2018-06-07 07:15:00,52,9.615384615384615,44.23076923076923,46.15384615384615
681,2018-06-16 19:15:00,375,13.866666666666667,47.2,38.93333333333333
682,2018-06-13 03:45:00,57,15.789473684210526,40.35087719298246,43.85964912280702
683,2018-06-19 07:45:00,293,12.627986348122867,49.48805460750853,37.8839590443686
684,2018-06-08 06:45:00,54,11.11111111111111,37.03703703703704,51.851851851851855
685,2018-06-19 14:30:00,337,13.353115727002967,38.87240356083086,47.774480712166174
686,2018-06-13 17:30:00,62,16.129032258064516,40.32258064516129,43.54838709677419
687,2018-06-14 23:00:00,416,25.96153846153846,40.625,33.41346153846154
688,2018-06-05 20:30:00,49,4.081632653061225,38.775510204081634,57.142857142857146
689,2018-06-13 14:30:00,52,19.23076923076923,46.15384615384615,34.61538461538461
690,2018-06-17 08:30:00,341,7.624633431085044,40.469208211143695,51.90615835777126
691,2018-06-06 15:30:00,46,8.695652173913043,34.78260869565217,56.52173913043478
692,2018-06-06 14:45:00,59,23.728813559322035,30.508474576271187,45.76271186440678
693,2018-06-19 08:30:00,383,12.793733681462141,48.302872062663184,38.90339425587467
694,2018-06-15 10:30:00,291,15.807560137457045,46.735395189003434,37.45704467353952
695,2018-06-08 19:00:00,57,12.280701754385966,38.59649122807018,49.12280701754386
696,2018-06-15 03:45:00,313,17.891373801916934,38.977635782747605,43.13099041533546
697,2018-06-06 14:00:00,99,19.19191919191919,46.464646464646464,34.343434343434346
698,2018-06-07 13:45:00,50,22.0,48.0,30.0
